                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,                0.84226,                0.42177,                0.68896,                 1.1171,                0.96806,                0.45498,                0.48936,                0.39954,                0.96986,                0.45596,                0.49072,                0.38707,                0.70376,                0.41089,                0.50501,                 1.1114,               0.007723,               0.007723,               0.007723
                     25,                 0.8295,                0.41737,                0.67229,                 1.1069,                 0.9666,                0.44282,                0.48396,                0.40268,                 0.9677,                0.44387,                0.48446,                0.38994,                0.67946,                0.39997,                0.50507,                 1.0976,               0.007624,               0.007624,               0.007624
                     26,                0.82419,                0.40799,                0.65334,                 1.1088,                0.97673,                0.45491,                0.49935,                0.41379,                0.97868,                0.45736,                0.50017,                0.40374,                0.68883,                0.40146,                 0.4598,                  1.102,               0.007525,               0.007525,               0.007525
                     27,                0.82235,                0.41119,                0.64275,                 1.0974,                 0.9766,                0.45598,                0.49102,                0.41071,                0.97769,                 0.4575,                 0.4937,                0.39846,                0.67822,                0.40574,                0.44925,                 1.0981,               0.007426,               0.007426,               0.007426
                     28,                0.81989,                0.40943,                 0.6564,                 1.0956,                0.97824,                0.46432,                0.49206,                0.41094,                0.97978,                0.46582,                0.49284,                0.39868,                0.67796,                0.40124,                0.43404,                 1.0934,               0.007327,               0.007327,               0.007327
                     29,                0.81217,                0.40918,                0.64063,                   1.09,                0.96023,                0.45133,                0.47992,                 0.4006,                0.96197,                0.45303,                0.48118,                0.38781,                0.68044,                0.40048,                0.49739,                 1.0966,               0.007228,               0.007228,               0.007228
                     30,                0.80936,                0.40332,                0.62688,                 1.0958,                0.97781,                0.45338,                0.49186,                0.41077,                 0.9797,                 0.4556,                0.49436,                0.39934,                0.67638,                0.39927,                 0.4427,                 1.0869,               0.007129,               0.007129,               0.007129
                     31,                0.80037,                0.40221,                0.63011,                 1.0896,                0.97319,                0.46202,                 0.4913,                0.41114,                0.97187,                0.46726,                0.49207,                0.39862,                0.67108,                0.39909,                0.43221,                 1.0854,                0.00703,                0.00703,                0.00703
                     32,                 0.7925,                 0.3931,                0.60798,                 1.0816,                0.97528,                0.46568,                0.49507,                0.41479,                0.97855,                0.46563,                0.49593,                0.40072,                 0.6729,                 0.3993,                0.41616,                 1.0884,               0.006931,               0.006931,               0.006931
                     33,                0.78977,                0.39223,                0.60819,                 1.0832,                0.97567,                0.46324,                0.49531,                0.41243,                0.97677,                0.46554,                0.49674,                0.40196,                0.68584,                0.40009,                0.43206,                  1.102,               0.006832,               0.006832,               0.006832
